"shapeid","GEOID10","NAME10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"0","0401160","Bicentennial Union High School District","9842287876.0","23002588.0","+33.6694969","-113.9521527","10921","343","348","316","396","237","266","269","285","403","487","582","769","1213","1626","1544","1032","540","265","5663","183","184","162","216","120","134","149","151","201","246","278","340","587","807","850","621","305","129","5258","160","164","154","180","117","132","120","134","202","241","304","429","626","819","694","411","235","136","63.3","64.0","62.5","9836","5087","4749","9656","4987","4669","9452","4885","4567","5780","3085","2695","5007","2712","2295","10921","10685","9574","64","155","41","8","5","16","1","2","4","5","3","1","1","1","0","848","236","120","14","21","44","9795","102","305","65","5","905","10921","1705","1520","12","0","173","9216","10921","1705","758","9","16","6","0","838","78","9216","8816","55","139","35","3","10","158","10921","10832","5557","2827","1402","1049","445","178","89","601","30","170","383","89","6","4","2","83","56","27","5557","3256","536","2827","350","133","57","296","129","2301","1911","1128","638","783","537","638","3388","1.95","2.44","9400","5557","3843","393","30","247","33","2822","318","5.1","28.0","5557","4574","983","8623","2209","1.89","2.25","5.55456115965","0.959081221667"
"1","0400720","Antelope Union High School District","7937912932.0","3400.0","+32.9920489","-113.8173717","6370","327","351","416","441","308","291","246","259","302","420","430","412","517","564","473","344","184","85","3265","148","190","220","227","163","162","125","120","148","196","217","216","236","288","266","196","96","51","3105","179","161","196","214","145","129","121","139","154","224","213","196","281","276","207","148","88","34","48.0","48.5","47.6","5191","2657","2534","4994","2562","2432","4768","2436","2332","1986","1053","933","1650","897","753","6370","6139","4875","56","46","16","1","0","11","1","2","0","1","4","0","2","0","2","1142","231","54","8","20","127","5095","82","112","34","9","1279","6370","2767","2662","9","3","93","3603","6370","2767","1442","8","19","2","1","1139","156","3603","3433","48","27","14","3","3","75","6370","6329","2512","1508","1589","1109","432","246","50","288","21","65","174","41","0","0","0","41","36","5","2512","1809","569","1508","412","120","63","181","94","703","570","352","155","218","142","669","1111","2.52","2.95","3956","2512","1444","63","10","97","13","986","275","4.9","8.8","2512","1867","645","4573","1756","2.45","2.72","3.82521144647","0.765869240871"
"2","0409630","Yuma Union High School District","6343261429.0","13250468.0","+32.5163068","-114.0007734","189381","14659","14577","14999","15862","14400","12577","11081","11096","11287","11117","10631","9246","8853","8636","7704","6040","3947","2669","94740","7504","7292","7598","8249","7875","6579","5762","5317","5551","5403","5149","4369","4178","3951","3817","3010","1946","1190","94641","7155","7285","7401","7613","6525","5998","5319","5779","5736","5714","5482","4877","4675","4685","3887","3030","2001","1479","33.4","31.9","35.0","141978","70774","71204","135572","67489","68083","126082","62282","63800","34288","16436","17852","28996","13914","15082","189381","182102","133006","3875","3010","2308","301","274","840","209","190","246","248","302","92","132","29","49","39601","7279","853","795","622","3639","139409","5079","4377","3637","669","43918","189381","114145","107637","976","165","5367","75236","189381","114145","67417","754","1080","281","101","39388","5124","75236","65589","3121","1930","2027","201","213","2155","189381","183501","62255","35266","61304","44875","16711","8130","2133","7965","745","930","4128","5880","3793","3528","265","2087","1724","363","62255","47167","22579","35266","15344","3165","1827","8736","5408","15088","12151","5781","2070","6370","3737","25981","19859","2.95","3.4","83894","62255","21639","2520","397","1134","221","15173","2194","2.6","11.3","62255","42936","19319","126314","57187","2.94","2.96","4.88751194102","0.609829604534"
"3","0405070","Mingus Union High School District","1320093901.0","401767.0","+34.8350664","-112.0838747","33217","1949","1856","1961","1856","1531","1633","1597","1673","1673","2163","2541","2713","2576","2243","1790","1323","1076","1063","15795","1024","931","985","929","769","779","789","823","815","1034","1191","1253","1189","996","827","600","473","388","17422","925","925","976","927","762","854","808","850","858","1129","1350","1460","1387","1247","963","723","603","675","47.1","45.3","48.8","27034","12651","14383","26291","12265","14026","25282","11768","13514","9063","4006","5057","7495","3284","4211","33217","32346","28578","220","714","259","14","36","57","29","40","49","34","30","19","2","2","7","2545","871","298","98","90","233","29364","368","1113","389","66","2846","33217","6206","5439","89","24","654","27011","33217","6206","3148","21","150","11","5","2521","350","27011","25430","199","564","248","25","24","521","33217","32997","14331","6519","7845","5919","1975","810","307","2327","180","218","1209","220","82","30","52","138","79","59","14331","8718","3059","6519","1860","635","350","1564","849","5613","4523","1729","614","2794","1584","3489","5423","2.3","2.87","16326","14331","1995","503","23","380","63","531","495","3.9","9.2","14331","9416","4915","21323","11674","2.26","2.38","1.85716231571","0.1301200998"
"4","0401740","Casa Grande Union High School District","3365464257.0","1173327.0","+32.8391002","-111.9208186","86739","7166","7037","6671","6365","5204","5211","5191","5123","4956","5389","5442","5268","5312","4551","3287","2233","1357","976","42514","3664","3527","3392","3232","2556","2507","2522","2539","2415","2659","2524","2416","2495","2250","1670","1083","681","382","44225","3502","3510","3279","3133","2648","2704","2669","2584","2541","2730","2918","2852","2817","2301","1617","1150","676","594","35.5","34.7","36.2","64537","31236","33301","61941","29967","31974","58364","28099","30265","15564","7546","8018","12404","6066","6338","86739","82844","54496","3089","10128","1062","127","93","516","36","55","126","109","135","48","32","33","22","13934","3895","792","256","414","1399","57622","3992","11575","1538","287","15884","86739","33036","29831","428","85","2692","53703","86739","33036","14505","337","1720","106","23","13815","2530","53703","39991","2752","8408","956","112","119","1365","86739","86190","30354","15478","26206","19658","8754","4481","781","5398","541","304","2812","549","272","170","102","277","115","162","30354","22141","9411","15478","5590","2097","1168","4566","2653","8213","6397","3094","878","3303","1545","11317","8775","2.84","3.28","38043","30354","7689","1910","60","987","174","3116","1442","4.5","16.8","30354","20950","9404","57283","28907","2.73","3.07","3.50133170605","0.324263131267"
"5","0407530","Santa Cruz Valley Union High School District","1857190335.0","3443529.0","+32.6415468","-111.4344521","18271","1111","992","894","1004","1957","2349","2030","1701","1468","1297","1058","767","614","366","274","210","111","68","12679","599","506","475","597","1538","1864","1632","1303","1137","956","710","475","376","203","117","109","50","32","5592","512","486","419","407","419","485","398","398","331","341","348","292","238","163","157","101","61","36","32.0","32.3","30.9","15106","11020","4086","14763","10844","3919","13951","10263","3688","1375","713","662","1029","511","518","18271","17658","8438","1721","572","775","28","51","261","98","25","36","276","959","773","14","121","51","5193","613","78","37","64","288","8927","1862","709","867","985","5558","18271","9406","8180","149","9","1068","8865","18271","9406","3513","87","188","34","17","5147","420","8865","4925","1634","384","741","942","46","193","18271","10780","3471","1697","3756","2832","1208","590","114","648","86","33","359","7491","7476","7231","245","15","8","7","3471","2615","1316","1697","813","261","138","657","365","856","649","381","102","268","106","1585","737","3.11","3.55","4175","3471","704","208","7","91","12","59","327","3.8","15.2","3471","2321","1150","7132","3648","3.07","3.17","2.32287914239","0.178797723719"
"6","0406030","Patagonia Union High School District","1795976121.0","1646932.0","+31.5472872","-110.6799581","3382","128","145","161","157","86","79","121","135","151","212","310","406","369","352","245","159","95","71","1643","77","63","79","71","48","41","56","68","64","92","151","190","183","173","129","80","50","28","1739","51","82","82","86","38","38","65","67","87","120","159","216","186","179","116","79","45","43","55.1","55.3","54.8","2909","1404","1505","2839","1372","1467","2768","1338","1430","1141","565","576","922","460","462","3382","3345","3081","14","38","16","0","5","5","1","2","2","1","0","0","0","0","0","196","37","19","4","5","5","3118","22","60","20","1","201","3382","805","716","13","4","72","2577","3382","805","574","5","16","0","0","193","17","2577","2507","9","22","16","0","3","20","3382","3363","1553","840","639","453","166","77","39","165","13","22","89","19","0","0","0","19","13","6","1553","988","249","840","184","53","19","95","46","565","461","208","78","253","144","291","669","2.17","2.66","2032","1553","479","31","4","51","2","251","140","4.0","8.2","1553","1209","344","2622","741","2.17","2.15","1.91248722588","0.170752077627"
"7","0408910","Valley Union High School District","1470118858.0","694071.0","+31.8655400","-109.6700375","3894","131","174","177","207","133","101","105","129","187","232","318","350","425","375","322","226","154","148","1985","69","99","89","116","75","56","56","65","87","115","171","165","203","181","174","118","80","66","1909","62","75","88","91","58","45","49","64","100","117","147","185","222","194","148","108","74","82","55.7","54.9","56.8","3369","1705","1664","3273","1648","1625","3180","1596","1584","1483","739","744","1225","619","606","3894","3804","3484","18","64","21","2","5","6","0","0","8","0","1","0","0","0","1","216","90","51","3","11","16","3571","32","118","27","5","236","3894","710","627","28","1","54","3184","3894","710","428","4","25","3","0","213","37","3184","3056","14","39","18","1","3","53","3894","3882","1818","927","702","471","247","122","50","188","16","31","83","12","12","12","0","0","0","0","1818","1122","256","927","172","72","34","123","50","696","597","324","136","273","169","324","871","2.14","2.67","2535","1818","717","49","7","96","16","216","333","5.9","13.2","1818","1502","316","3232","650","2.15","2.06","2.41564752282","0.140166365961"
"8","0400082","Colorado River Union High School District","2711102384.0","74672801.0","+35.1052137","-114.4678343","64364","3362","3348","3571","3774","3026","2839","2731","2935","3466","4434","4975","4918","5523","5322","4321","2819","1814","1186","31892","1698","1701","1809","1951","1494","1403","1328","1430","1731","2121","2478","2362","2718","2643","2218","1438","870","499","32472","1664","1647","1762","1823","1532","1436","1403","1505","1735","2313","2497","2556","2805","2679","2103","1381","944","687","48.6","48.4","48.9","53278","26257","27021","51760","25453","26307","49663","24395","25268","18819","9328","9491","15462","7668","7794","64364","62343","53765","702","1229","811","60","78","313","96","64","41","159","95","43","14","26","12","5741","2021","539","253","227","603","55553","1061","1953","1205","249","6496","64364","13277","11471","283","71","1452","51087","64364","13277","6272","59","314","37","7","5679","909","51087","47493","643","915","774","88","62","1112","64364","64191","27038","12842","14392","10240","4585","1910","786","5334","433","569","2675","173","96","20","76","77","51","26","27038","17557","5433","12842","3004","1623","822","3092","1607","9481","7094","3610","1532","3484","1974","6564","10966","2.37","2.81","37950","27038","10912","1634","42","1167","174","6294","1601","6.1","15.1","27038","17912","9126","40426","23765","2.26","2.6","3.42480094728","0.275385682479"
"9","0400450","Agua Fria Union High School District","244820836.0","469067.0","+33.4817573","-112.4079800","120678","9767","10209","9970","9464","7917","8101","8848","9600","9026","8122","6950","5876","5775","4380","2882","1867","1048","876","58001","5008","5181","5109","4626","3663","3708","4085","4501","4209","3936","3288","2721","2782","2052","1439","912","494","287","62677","4759","5028","4861","4838","4254","4393","4763","5099","4817","4186","3662","3155","2993","2328","1443","955","554","589","32.8","32.1","33.3","88738","41691","47047","84959","39770","45189","79584","37294","42290","14408","6841","7567","11053","5184","5869","120678","115692","82533","8688","1597","4938","595","716","1455","184","455","1034","499","277","72","95","44","66","17659","4986","506","837","1049","1383","86750","10349","2468","6373","590","19574","120678","40675","35386","948","161","4180","80003","120678","40675","19638","532","499","170","54","17455","2327","80003","62895","8156","1098","4768","223","204","2659","120678","116623","38833","23423","39438","31187","8881","3710","1276","6048","700","240","2823","4055","3843","130","3713","212","175","37","38833","30423","15774","23423","11329","2229","1358","4771","3087","8410","6292","3071","483","3221","1145","17471","7594","3.0","3.36","45096","38833","6263","2270","81","1369","193","1238","1112","4.7","16.4","38833","27369","11464","80960","35663","2.96","3.11","0.762840114264","0.0237954055905"
